	skey	rstrt_nm	keywords
78	197	판문점(오동동)	갈비 맛집 소갈비 양념 입맛 자존심 전국 고기 국내 돼지갈비 돼지고기 마산 매콤 무죄 변신 본연 사르르 사용 소개 소고기
79	199	한옥산에산에	안주 옥산 정말 막걸리 메이커 분위기 우먼 진짜 추천 가면 가야 각오 강강강 거리 결과 경상남도 경치 기어 길찾기 느낌
80	201	한우촌(마산)	소고기 마산 추천 맛집 가보 거나 결혼기념일 기도 다시 도로 부모님 생각 생신 아버지 약수터 우촌 최근 평이 한우 해안
81	204	홍화	국밥 맛집 소고기
82	207	복자할매충무김밥	충무김밥 마산 맛집 추천 근처 부탁 애용 양덕동 점심때 창원 충무 통영
83	208	24시 남양돼지국밥	국밥 거리 공유 금전 봉암동 산호동 새벽 시간 양덕동 지금 포장 하루
84	209	감자꽃피는감자탕	포장 해장국 가능 근처 마산 마산역 보고 볼일 지금 추천 해갈
85	210	강변횟집	초장 포장 마산 마산역 추천 횟집 근처 맛집 물회 어회 흙내 갑자기 곳도 껍니 내일 데리 라서 마산어시장 마산합포구 민물
86	212	거창가든	창원 마산 맛집 진해 불고기 생각 횟집 곱창 돈까스 리스트 상남 짬뽕 추천 갈비 국밥 모두 아구찜 어디 오리 추가
87	217	남촌칼국수	칼국수 맛집 마산 추천 콩국수 감사 날씨 맛나 먹기 미리 바지락 수집 신랑 어디 오늘 인근 정보 중리 춘하 친정엄마
88	219	독불장군	아기 중리 추천 갈비 개월 고기 룸있는 소고기 환기
89	221	마당있는집(합성동)	불고기 오리 곳좀 내일 마산 아시 엄마
90	222	돈사골매실국밥	국밥집 매실 사골 사시 영업 이제 정류장 회산교 회원동
91	226	소나무식당	배달 어시장 근처 석전동 추천 횟집 마산 매운탕 여태 처음 회랑
92	232	맛있는 생오리	불고기 오리 곳좀 내일 마산 아시 엄마
93	234	옥필가	근처 선지국 철분
94	235	왕창이해물칼국수	칼국수 합성동 추천 해물 돈까스 맛집 왕창 근처 데이트 옛날 창원 오늘 마산 소스 수제비 양도 어디가 일이 커피 가기
95	236	우람한우마을(마산)	소고기 된장찌개 부위 가면 그거 맛집 미리 아시 약간 예전 이름 일반 정육점 쪼매 추천
96	238	원조할매낙지	맛집 창원 곱창전골 낙지 볶음 감자탕 건물 경남 김치 남고 내일 대국 대학원 도청 돼지고기 마산 부경 산동 새벽 생선
97	242	장원	불고기 돼지갈비 마산 가게 갈비 계속 국물 늑힘 당면 래미 마창진 맛집 무한리필 보신 양덕 장원 퀄리티 평가
98	251	키다리횟집	어회 횟집 근처 마산 마산역 배달 어시장 물회 석전동 처음 초장 추천 키다리 포장 기분 냄새 다음 단골 매운탕 민물
